realtime_end,realtime_start,value,date
2019-04-05,2019-04-05,37921,1953-01-01
2019-04-05,2019-04-05,37410,1954-01-01
2019-04-05,2019-04-05,39806,1955-01-01
2019-04-05,2019-04-05,42190,1956-01-01
2019-04-05,2019-04-05,41630,1957-01-01
2019-04-05,2019-04-05,41422,1958-01-01
2019-04-05,2019-04-05,44117,1959-01-01
2019-04-05,2019-04-05,45230,1960-01-01
2019-04-05,2019-04-05,46534,1961-01-01
2019-04-05,2019-04-05,47493,1962-01-01
2019-04-05,2019-04-05,49149,1963-01-01
2019-04-05,2019-04-05,50831,1964-01-01
2019-04-05,2019-04-05,52574,1965-01-01
2019-04-05,2019-04-05,55709,1966-01-01
2019-04-05,2019-04-05,56634,1967-01-01
2019-04-05,2019-04-05,59878,1968-01-01
2019-04-05,2019-04-05,62698,1969-01-01
2019-04-05,2019-04-05,62743,1970-01-01
2019-04-05,2019-04-05,62691,1971-01-01
2019-04-05,2019-04-05,66341,1972-01-01
2019-04-05,2019-04-05,67364,1973-01-01
2019-04-05,2019-04-05,66135,1974-01-01
2019-04-05,2019-04-05,64581,1975-01-01
2019-04-05,2019-04-05,66268,1976-01-01
2019-04-05,2019-04-05,67485,1977-01-01
2019-04-05,2019-04-05,69472,1978-01-01
2019-04-05,2019-04-05,70482,1979-01-01
2019-04-05,2019-04-05,68093,1980-01-01
2019-04-05,2019-04-05,67056,1981-01-01
2019-04-05,2019-04-05,67038,1982-01-01
2019-04-05,2019-04-05,67219,1983-01-01
2019-04-05,2019-04-05,69974,1984-01-01
2019-04-05,2019-04-05,71773,1985-01-01
2019-04-05,2019-04-05,74778,1986-01-01
2019-04-05,2019-04-05,76348,1987-01-01
2019-04-05,2019-04-05,77131,1988-01-01
2019-04-05,2019-04-05,79447,1989-01-01
2019-04-05,2019-04-05,77804,1990-01-01
2019-04-05,2019-04-05,76102,1991-01-01
2019-04-05,2019-04-05,75946,1992-01-01
2019-04-05,2019-04-05,79103,1993-01-01
2019-04-05,2019-04-05,80962,1994-01-01
2019-04-05,2019-04-05,82283,1995-01-01
2019-04-05,2019-04-05,83774,1996-01-01
2019-04-05,2019-04-05,86930,1997-01-01
2019-04-05,2019-04-05,89819,1998-01-01
2019-04-05,2019-04-05,92341,1999-01-01
2019-04-05,2019-04-05,93887,2000-01-01
2019-04-05,2019-04-05,92801,2001-01-01
2019-04-05,2019-04-05,91507,2002-01-01
2019-04-05,2019-04-05,91603,2003-01-01
2019-04-05,2019-04-05,91569,2004-01-01
2019-04-05,2019-04-05,92237,2005-01-01
2019-04-05,2019-04-05,94229,2006-01-01
2019-04-05,2019-04-05,93444,2007-01-01
2019-04-05,2019-04-05,90888,2008-01-01
2019-04-05,2019-04-05,89950,2009-01-01
2019-04-05,2019-04-05,88087,2010-01-01
2019-04-05,2019-04-05,88483,2011-01-01
2019-04-05,2019-04-05,88611,2012-01-01
2019-04-05,2019-04-05,92407,2013-01-01
2019-04-05,2019-04-05,92002,2014-01-01
2019-04-05,2019-04-05,95887,2015-01-01
2019-04-05,2019-04-05,99451,2016-01-01
2019-04-05,2019-04-05,100400,2017-01-01
